Price,Close,High,Low,Open,Volume
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
Date,,,,,
2015-02-04,93.4457015991211,95.76635564182737,91.21874874082216,92.53041465446448,20534456
2015-02-05,89.7773666381836,94.0511099980606,89.2800830269008,93.97904042937256,15521514
2015-02-06,90.42597198486328,92.81148492247327,89.80617383651847,90.08724867717223,13093343
2015-02-09,87.80984497070312,91.45657153794495,87.20445354904548,87.92515625584376,9986256
2015-02-10,91.52144622802734,92.16286889856255,86.49096942228982,87.34860077255544,16479576
2015-02-11,95.34834289550781,96.11228734332542,91.81692757137972,92.24934489580323,19163587
2015-02-12,98.6419448852539,99.02391715797984,95.70870289770045,95.83122474261378,19540915
2015-02-13,96.84740447998047,99.41308798315748,96.25643408970637,99.08156800812567,11217343
2015-02-16,95.5645523071289,98.75004097136792,94.77178720613567,97.17891750563915,11523388
2015-02-18,95.96095275878906,97.29424330576285,95.34835786567395,95.91050765035422,6802972
2015-02-19,99.78065490722656,101.092321008208,95.88168062527036,96.71047704679697,16545483
2015-02-20,99.08157348632812,102.00760495023252,98.01493676779906,100.7535945405608,13753196
2015-02-23,97.9933090209961,99.88874193317461,97.16450553876766,99.45632459670837,6944254
2015-02-24,102.6562271118164,103.0165748917694,97.95006716895645,97.95006716895645,18937816
2015-02-25,100.30674743652344,103.7012341173145,100.03287596267391,103.34808972314215,13553581
2015-02-26,99.17526245117188,101.47428500571397,98.15907806641933,100.3355859561255,15476196
2015-02-27,102.53369903564453,102.81477387422697,99.15362630350617,99.77342444728352,12843035
2015-03-02,102.32470703125,103.2039556132783,99.4563243569333,101.18600087329787,8781363
2015-03-03,104.03996276855469,104.8615628829521,101.9211106440607,102.84360813702119,10908493
2015-03-04,101.51753234863281,105.02733088138163,100.89773409753647,104.92643349166828,9656926
2015-03-05,100.81845092773438,101.89950153078651,99.45633262063802,101.65446502035326,12558461
2015-03-09,95.96095275878906,100.16262635746135,95.62222221414024,100.16262635746135,7975309
2015-03-10,93.46733093261719,97.94286133690284,92.21331342339516,95.99698323156338,9985479
2015-03-11,93.50335693359375,95.34834472792741,91.9178267135699,93.5898404001405,11566206
2015-03-12,94.51234436035156,95.08890084350057,93.63308854887931,94.26730785501324,6724218
2015-03-13,91.39892578125,95.85284617555908,90.51967713695153,95.09611219763929,9152930
2015-03-16,92.24935913085938,92.94843750055398,89.58277804409651,91.52865630427202,10155774
2015-03-17,92.94842529296875,93.6186685738883,91.40612962575696,92.71779553997511,6650031
2015-03-18,92.84032440185547,93.83489152085558,92.1772844389688,92.98446352422214,4567788
2015-03-19,89.1863784790039,93.8348826737245,88.40802011694055,93.69794693305195,8507137
2015-03-20,87.9035415649414,89.5539381041412,87.06032411136978,88.93413987767671,12267377
2015-03-23,85.94325256347656,89.05667232828002,85.48200731674152,88.24948597182274,9837934
2015-03-24,85.2513656616211,86.23151159212254,83.81717795539092,85.55405778721713,9013384
2015-03-25,87.75218963623047,88.27109042118518,85.48198794004962,85.80630451798098,8756630
2015-03-26,86.69998168945312,88.56658702822163,85.91441983607066,87.17564082302299,14607308
2015-03-27,85.7990951538086,86.48375950847394,84.09104312587009,86.48375950847394,7045197
2015-03-30,89.1863784790039,89.36654877764,86.69996809060252,86.9161767537675,5615297
2015-03-31,88.69629669189453,91.24035529623315,88.16297486776884,89.66923916675177,8187770
2015-04-01,88.2710952758789,88.76116826640005,86.91618042153306,87.75219446238593,5663060
2015-04-06,90.66382598876953,91.52866081367817,88.30714032888719,88.64587088931184,5353082
